ID_Funcionario;Nome;Departamento;Cargo;Salario;Data_Admissao;Genero;Idade;Estado_Civil;Status;Ano_Admissao;Mes_Admissao;Dia_Admissao;Trimestre_Admissao;Tempo_Casa_Anos;Faixa_Tempo_Casa
1;Julia Nunes;Logística;Coordenador;9088.34;2024-08-13;F;43;Solteiro;Inativo;2024;8;13;3;1.7;1 a 3 anos
2;Sr. Gustavo Duarte;TI;Gerente;8155.98;2017-04-29;F;59;Solteiro;Inativo;2017;4;29;2;9.0;Mais de 5 anos
3;Srta. Mariana Cunha;RH;Coordenador;14027.93;2024-12-11;F;27;Divorciado;Ativo;2024;12;11;4;1.4;1 a 3 anos
4;Ana Sophia da Cruz;Produção;Técnico;6647.97;2019-06-16;M;50;Casado;Inativo;2019;6;16;2;6.9;Mais de 5 anos
5;Dr. Nicolas Pinto;Produção;Gerente;8730.19;2019-03-29;F;62;Casado;Inativo;2019;3;29;1;7.1;Mais de 5 anos
6;Marcela Costa;RH;Analista;12403.42;2024-07-23;M;55;Solteiro;Ativo;2024;7;23;3;1.8;1 a 3 anos
7;João Miguel da Costa;Produção;Técnico;4771.89;2021-11-11;F;58;Viúvo;Inativo;2021;11;11;4;4.5;3 a 5 anos
8;Gabrielly Cardoso;RH;Analista;2728.36;2022-04-26;M;56;Divorciado;Ativo;2022;4;26;2;4.0;3 a 5 anos
9;Raul da Paz;Logística;Coordenador;3164.23;2022-11-30;F;51;Solteiro;Ativo;2022;11;30;4;3.4;3 a 5 anos
10;Davi Lucca Teixeira;Produção;Gerente;13512.53;2020-06-29;M;35;Viúvo;Ativo;2020;6;29;2;5.9;Mais de 5 anos
11;Ana Beatriz Jesus;TI;Analista;5909.53;2019-07-24;M;52;Casado;Inativo;2019;7;24;3;6.8;Mais de 5 anos
12;Dr. Calebe Barbosa;RH;Analista;3852.93;2018-09-04;F;63;Casado;Inativo;2018;9;4;3;7.7;Mais de 5 anos
13;Laís da Mata;Vendas;Analista;4719.79;2019-12-20;M;64;Casado;Ativo;2019;12;20;4;6.4;Mais de 5 anos
14;Nina Azevedo;RH;Assistente;3487.12;2018-12-14;M;34;Divorciado;Ativo;2018;12;14;4;7.4;Mais de 5 anos
15;Laura Rezende;Logística;Analista;11978.82;2023-02-26;F;65;Casado;Ativo;2023;2;26;1;3.2;3 a 5 anos
16;Maria Julia das Neves;Produção;Técnico;11440.3;2025-04-18;M;38;Solteiro;Ativo;2025;4;18;2;1.1;1 a 3 anos
17;Luigi Santos;Financeiro;Gerente;8988.88;2016-12-10;F;32;Solteiro;Ativo;2016;12;10;4;9.4;Mais de 5 anos
18;Srta. Giovanna Pinto;Produção;Coordenador;2503.83;2025-04-14;F;35;Viúvo;Inativo;2025;4;14;2;1.1;1 a 3 anos
19;Bernardo Cavalcanti;TI;Coordenador;6088.45;2020-02-06;F;59;Solteiro;Ativo;2020;2;6;1;6.3;Mais de 5 anos
20;Joaquim da Mota;Logística;Assistente;8922.49;2019-12-29;F;54;Divorciado;Inativo;2019;12;29;4;6.4;Mais de 5 anos
